0.0000,-1.9974,-2.0479,1.0000,0.0000
0.2500,-1.9656,-2.0161,1.0000,0.0628
0.5000,-1.9359,-1.9864,1.0000,0.1257
0.7500,-1.9711,-2.0216,1.0000,0.1885
1.0000,-2.0226,-2.0731,1.0000,0.2513
1.2500,-2.0671,-2.1176,1.0000,0.3142
1.5000,-2.1380,-2.1886,1.0000,0.3770
1.7500,-2.2188,-2.2693,1.0000,0.4398
2.0000,-2.2880,-2.3386,1.0000,0.5027
2.2500,-2.3698,-2.4203,1.0000,0.5655
2.5000,-2.4320,-2.4825,1.0000,0.6283
2.7500,-2.4181,-2.4686,1.0000,0.5655
3.0000,-2.3889,-2.4394,1.0000,0.5027
3.2500,-2.4204,-2.4709,1.0000,0.4398
3.5000,-2.4562,-2.5067,1.0000,0.3770
3.7500,-2.4424,-2.4929,1.0000,0.3142
4.0000,-2.4302,-2.4807,1.0000,0.2513
4.2500,-2.4385,-2.4890,1.0000,0.1885
4.5000,-2.4240,-2.4745,1.0000,0.1257
4.7500,-2.3927,-2.4432,1.0000,0.0628
5.0000,-2.3599,-2.4104,1.0000,0.0000
5.2500,-2.2992,-2.3528,1.0000,-0.0628
5.5000,-2.2473,-2.3102,1.0000,-0.1257
5.7500,-2.2710,-2.3494,1.0000,-0.1885
6.0000,-2.3175,-2.4178,1.0000,-0.2513
6.2500,-2.3129,-2.4412,1.0000,-0.3142
6.5000,-2.3081,-2.4707,1.0000,-0.3770
6.7500,-2.3468,-2.5500,1.0000,-0.4398
7.0000,-2.3674,-2.6174,1.0000,-0.5027
7.2500,-2.3455,-2.6486,1.0000,-0.5655
7.5000,-2.3262,-2.6886,1.0000,-0.6283
7.7500,-2.3116,-2.7395,1.0000,-0.5655
8.0000,-2.2966,-2.7964,1.0000,-0.5027
8.2500,-2.3122,-2.8900,1.0000,-0.4398
8.5000,-2.3198,-2.9819,1.0000,-0.3770
8.7500,-2.2463,-2.9990,1.0000,-0.3142
9.0000,-2.1342,-2.9837,1.0000,-0.2513
9.2500,-2.0474,-2.9999,1.0000,-0.1885
9.5000,-1.9302,-2.9921,1.0000,-0.1257
9.7500,-1.7418,-2.9193,1.0000,-0.0628
10.0000,-1.5523,-2.8516,1.0000,0.0000
10.2500,-1.3996,-2.8239,1.0000,0.0628
10.5000,-1.2490,-2.7982,1.0000,0.1257
10.7500,-1.0988,-2.7731,1.0000,0.1885
